id,date,val
1,1/01/16,668
2,4/01/16,636
3,7/01/16,654
4,10/01/16,862
5,1/01/17,921
6,4/01/17,1021
7,7/01/17,1055
8,10/01/17,921
9,1/01/18,999
10,4/01/18,971
11,7/01/18,1100
12,10/01/18,1110
13,1/01/19,1043
14,4/01/19,1054
15,7/01/19,742
16,10/01/19,863
17,1/01/20,1041
18,4/01/20,1693
19,7/01/20,1790
20,10/01/20,1878
21,1/01/21,1917
22,4/01/21,1916
23,7/01/21,1977
24,10/01/21,2177
25,1/01/22,1894
26,4/01/22,1652
27,1/01/16,575
28,4/01/16,552
29,7/01/16,565
30,10/01/16,759
31,1/01/17,819
32,4/01/17,914
33,7/01/17,971
34,10/01/17,836
35,1/01/18,919
36,4/01/18,913
37,7/01/18,1023
38,10/01/18,1034
39,1/01/19,964
40,4/01/19,988
41,7/01/19,672
42,10/01/19,796
43,1/01/20,973
44,4/01/20,1607
45,7/01/20,1701
46,10/01/20,1791
47,1/01/21,1859
48,4/01/21,1854
49,7/01/21,1915
50,10/01/21,2091
51,1/01/22,1816
52,4/01/22,1619
